trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
49,False,"{'a': 0.95, 'e': 0.0004}",20,10,18.47082603694318,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.95, 'e': 0.00038446751249519417}",20,3,-12.635118763243748,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
51,False,"{'a': 0.95, 'e': 0.0003698224852071006}",30,16,20.244767194124343,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.95, 'e': 0.000355998576005696}",35,20,25.212624501773938,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.95, 'e': 0.0003429355281207133}",20,8,24.79425303240467,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.95, 'e': 0.00033057851239669424}",20,0,33.86899130873749,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.95, 'e': 0.00031887755102040814}",20,9,20.67968288749998,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.95, 'e': 0.0003077870113881194}",20,10,16.662829745595943,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.95, 'e': 0.00029726516052318666}",25,11,27.65939969796234,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.95, 'e': 0.0002872737719046251}",20,0,21.86236514188136,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.95, 'e': 0.0002777777777777778}",20,0,29.041497985960252,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.95, 'e': 0.0002687449610319806}",30,4,35.340433575154414,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.95, 'e': 0.00026014568158168577}",25,13,18.96232311135032,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.95, 'e': 0.0002519526329050139}",20,6,28.687085070054643,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
